time_of_day,proc_time_ms
22:05:13.395,3.31
22:05:15.888,2.06
22:05:18.268,2.01
22:05:30.982,2.03
22:05:36.524,2.09
22:05:42.755,2
01:20:01.752,4.56
01:20:20.008,2.46
01:20:36.819,2.12
01:20:54.046,1.94
01:20:59.195,1.95
01:21:04.177,1.94
02:02:17.121,4.54
02:02:38.515,2.41
02:02:49.215,2.08
02:02:57.915,3
02:03:05.824,8.43
02:03:12.886,2.18
02:03:22.094,2.14
02:03:30.796,2.06
04:27:54.376,4.85
04:29:03.425,2.53
04:29:15.363,2.26
04:29:55.493,2.07
04:29:59.260,9.92
04:30:02.193,1.82
04:30:12.683,2.76
04:30:26.659,1.83
04:37:08.679,2.66
04:37:12.881,2.12
04:37:16.827,2.05
04:37:19.246,2.19
04:37:21.260,2.12
05:30:05.198,49.86
06:07:45.590,2.96
06:07:49.220,1.66
06:14:03.486,4.08
06:14:24.655,5.76
06:14:56.061,4.79
06:14:57.711,1.63
06:25:46.655,1.62
06:25:49.062,1.79
06:48:46.561,1.99
06:48:48.875,2.63
06:48:52.315,1.57
06:48:58.085,1.35
06:59:33.269,30.81
06:59:39.948,3.01
07:00:30.587,2.92
07:04:45.495,27.63
07:05:32.180,2.85
07:11:57.589,1.87
07:12:13.994,22.94
07:12:23.129,23.01
07:35:21.414,2.69
07:35:28.467,1.99
07:35:31.759,2.01
07:35:38.311,1.94
07:42:26.790,2.8
07:42:44.168,2.23
07:42:53.635,2.17
07:43:03.311,2.11
07:43:10.940,2.15
07:43:19.132,2.09
07:43:25.891,2.03
07:43:29.851,2.03
07:44:06.041,3.38
08:50:39.853,8.73
08:59:21.126,25.08
08:59:36.110,1.7
08:59:41.795,1.19
08:59:45.285,1.23
08:59:48.341,1.53
08:59:50.646,1.7
08:59:52.995,1.55
08:59:55.985,1.49
08:59:58.892,1.57
09:00:04.139,1.47
09:00:07.460,1.5
09:00:10.989,1.63
09:01:33.958,3.39
10:46:21.244,8.12
10:46:34.534,2.81
10:46:39.335,4.04
10:46:42.369,3.89
10:47:04.767,3.83
10:47:15.482,2.97
12:46:19.083,5.53
12:46:54.993,2.51
12:47:00.564,5.01
12:47:18.189,1.67
12:47:30.956,1.61
12:47:34.954,3.65
12:47:39.523,1.71
13:00:38.452,3.59
13:00:45.961,6.07
13:00:46.937,2.94
13:01:04.286,4.48
13:01:06.567,2.77
13:01:10.375,2.91
13:01:18.054,2.67
13:01:21.178,2.69
13:01:35.793,2.63
13:01:38.319,2.54
13:01:41.917,2.57
13:01:43.821,2.53
13:01:49.545,2.53
13:02:01.611,2.78
13:02:10.384,2.63
13:02:13.274,2.84
13:02:19.526,2.43
13:02:40.215,2.68
13:02:46.545,2.45
13:02:49.043,2.58
13:02:51.585,2.42
13:02:53.634,2.37
13:03:01.776,2.4
13:03:07.091,3.07
13:03:17.098,2.2
13:03:20.000,2.27
13:03:21.881,3.13
13:03:31.984,1.63
13:03:38.197,1.88
13:03:44.304,1.6
13:06:38.726,1.36
13:06:43.458,1.39
13:06:52.723,1.24
13:07:03.686,1.26
13:07:16.398,2.69
13:08:01.199,6.3
13:08:05.652,10.33
13:08:21.872,2.73
13:08:49.646,1.57
13:24:38.714,3.7
13:27:18.458,3.46
13:27:35.958,2.43
13:33:24.277,80.47
13:34:10.883,5.31
13:34:14.218,4.2
13:34:20.302,3.39
13:34:29.060,4.26
13:34:42.463,35.36
13:34:46.906,4.94
13:35:06.825,5
13:35:12.605,11.98
13:35:12.708,27.51
13:36:19.635,3.31
13:38:26.457,4.2
13:38:30.937,5.32
13:38:33.442,3.07
13:38:36.133,4.4
13:38:45.156,5.58
13:38:49.682,3.32
13:38:58.524,3.15
13:40:05.463,164.75
13:40:05.520,372.71
13:40:10.197,10.67
13:40:13.936,15.55
13:42:28.160,14.21
13:44:17.235,11.73
13:45:19.650,369.12
13:45:28.563,10.9
13:46:37.611,7.65
13:48:31.968,377.08
13:48:38.656,10.56
13:49:55.000,365.66
13:50:50.770,6.66
13:51:32.102,5.98
13:51:44.824,6.16
13:51:53.172,6
13:52:22.520,37.62
13:52:48.411,1.69
13:53:06.989,6.27
13:53:20.696,40.23
13:53:26.442,8.25
13:59:28.719,439.1
13:59:51.277,13.6
14:00:28.844,12.82
14:00:49.576,13.89
14:01:04.070,12.51
14:01:08.064,12.93
14:01:24.200,11.45
14:02:11.120,12.59
14:02:23.638,11.53
14:02:34.763,9.31
14:02:59.243,10.06
14:03:13.570,11.1
14:03:23.418,9.79
14:03:32.715,8.62
14:04:01.090,9.1
14:04:16.959,9.53
14:48:12.869,106.88
14:48:20.519,5.37
14:48:33.156,4.23
14:57:58.829,18.14
14:58:24.525,13.33
14:58:45.131,9.22
14:58:57.465,8.79
15:03:00.353,19.94
15:03:11.406,55.28
15:04:50.784,87.93
15:04:53.988,52.09
15:05:06.435,5.44
15:05:12.634,8.25
15:05:17.050,4.92
15:05:21.647,3.74
15:05:29.734,3.83
15:05:34.690,6.62
15:05:37.709,2.42
15:06:37.860,2.36
15:06:40.716,2.58
15:06:47.509,5.27
15:06:57.305,4.62
15:07:00.702,3.94
15:07:03.164,3.71
15:09:04.244,5.53
15:09:11.685,2.61
15:29:37.329,56.03
15:30:03.663,4.24
15:30:49.899,37.12
15:31:08.245,4.15
15:31:24.724,14.18
15:32:05.187,46.28
15:32:12.691,2.64
15:32:14.261,4.76
15:32:16.123,2.64
15:32:17.881,2.24
15:32:19.491,2.43
15:32:21.343,2.12
15:32:23.298,2.18
15:32:25.317,2.11
15:32:32.187,2.54
15:32:46.327,2.4
15:32:58.658,2.72
15:33:20.151,3.61
15:33:40.283,2.65
15:33:50.176,2.4
15:34:09.532,2.83
15:34:21.009,2.26
15:34:55.740,2.28
15:35:09.974,2.26
15:41:51.274,2.79
15:42:08.129,2.33
15:42:26.023,2.16
15:42:34.272,2.45
15:42:51.913,2.97
15:43:07.535,2.17
15:43:34.756,2.33
15:43:46.520,2.15
15:44:02.766,2.24
15:44:20.183,2.17
15:44:37.178,2.22
15:44:45.048,2.01
15:44:50.503,2.32
15:44:55.623,2.72
15:45:01.751,2.05
15:45:08.256,2.07
15:45:12.937,2.06
15:45:17.171,2.02
15:45:22.731,1.98
15:45:28.479,1.89
15:45:37.143,1.92
15:45:57.877,2.42
15:46:10.299,1.87
15:46:25.630,2
15:46:33.593,1.89
15:46:42.314,1.94
15:46:52.594,1.84
15:47:12.590,1.78
15:47:27.063,1.75
15:47:36.589,9.55
15:47:46.774,1.89
15:47:58.595,2.01
15:48:20.609,1.8
15:48:34.889,1.76
16:06:10.739,6.68
16:06:13.859,2.26
16:06:17.589,3.96
16:06:40.346,88.32
16:06:48.552,1.56
16:06:53.663,23.5
16:07:01.804,2.34
16:07:24.152,2.56
16:07:48.183,2.55
16:08:04.508,2.65
16:08:20.404,4.23
16:08:45.259,2.44
16:10:10.696,5.38
16:10:14.661,16.48
16:10:16.948,2.75
16:12:01.034,2.05
16:12:26.254,2.42
16:12:30.995,3.58
16:12:32.319,4.43
16:13:10.427,363
16:13:16.756,13.11
16:37:56.811,17.58
16:38:03.133,10.84
16:39:13.795,2.94
16:39:20.886,2.66
16:39:28.594,2.43
16:39:34.513,1.83
16:39:43.234,1.76
16:39:56.834,1.65
16:40:03.100,1.68
16:44:32.616,10.42
16:44:49.024,10.55
16:49:50.122,2.84
16:50:05.322,10.21
16:50:25.932,136.74
16:52:16.301,48.37
16:52:35.061,1.5
17:35:11.592,2.24
17:35:31.400,2.26
17:35:40.174,2.13
17:35:55.501,2.43
17:36:03.626,2.32
17:36:33.618,32.57
17:36:41.491,13.16
17:36:47.143,1.42
17:36:57.531,2.01
17:37:24.599,4.67
17:37:28.267,1.84
17:38:23.207,2.18
17:38:39.420,1.36
17:38:48.370,1.43
17:38:59.780,2.31
17:39:28.964,3.44
17:39:35.536,1.76
17:40:17.928,2.53
17:50:42.249,2.6
17:56:46.567,1.79
17:56:52.526,1.68
18:07:37.077,2.39
18:09:07.622,2.06
18:10:14.874,2.62
18:11:10.800,2.53
18:11:20.459,2.32
18:12:04.691,3.07
18:12:54.825,2.03
18:34:22.913,94.48
18:34:23.022,40.09
18:34:36.413,6.42
18:34:54.253,4.57
18:35:08.230,4.04
18:35:12.590,5.6
18:35:15.935,4.33
18:36:19.422,5.03
18:36:23.245,4.53
18:36:29.765,3.75
18:36:33.232,3.24
18:36:38.089,3.59
18:36:41.305,3.08
18:37:01.440,2.75
18:37:03.772,2.97
18:37:05.763,2.71
18:37:13.033,2.83
18:37:16.404,2.69
18:37:19.650,2.97
18:37:22.219,2.73
18:37:39.248,2.34
18:40:26.551,79.72
18:40:26.697,49.16
18:41:30.190,3.82
18:42:11.432,5.69
18:42:26.256,5.57
18:42:28.447,3.14
18:42:33.388,3.23
18:42:35.438,3.75
18:46:52.682,3.4
18:46:56.842,3.05
18:47:17.491,3.06
18:47:20.326,3.12
18:49:50.438,2.81
19:00:47.073,2.87
19:00:49.660,3.9
19:31:11.405,61.87
19:31:19.360,2.26
19:31:39.426,3.13
19:31:50.299,3.03
19:32:00.327,2.39
19:32:13.337,3.76
19:32:21.609,2.44
19:32:32.433,2.42
19:32:34.978,2.31
19:32:38.718,3.8
19:32:50.493,2.52
19:33:02.817,4.58
19:33:04.000,2.96
20:25:55.424,2.41
20:28:13.145,44.23
20:28:13.201,87.99
20:28:17.715,5.21
21:11:22.574,60.6
21:11:24.669,3.14
21:11:29.276,2.9
21:11:31.610,4.13
21:11:43.216,2.79
21:11:45.923,3.86
21:11:49.721,3.27
21:12:01.429,3.88
21:12:10.868,3.04
21:20:57.262,8.21
21:26:52.435,15.85
21:41:56.019,4.85
21:45:37.722,2.44
21:46:15.581,4.18
21:47:13.686,126.42
21:48:06.227,4.27
21:48:26.478,3.46
21:48:55.828,3.09
21:49:26.520,16.46
21:49:46.072,2.73
21:51:06.695,21.25
21:51:50.404,22.7
21:52:16.774,3.3
21:53:20.275,10.35
21:53:41.910,2.13
21:59:39.112,23.74
22:00:08.293,17.11
22:00:43.553,5.24
22:01:31.782,440.53
22:01:48.688,15.46
22:02:05.678,25.98
22:05:25.422,18.92
22:05:33.120,2.54
22:05:43.252,1.98
22:06:15.055,3.04
22:06:25.430,23.82
22:06:25.544,23.06
22:06:28.509,12.75
22:06:37.928,2.14
22:06:57.341,10.46
22:07:14.224,10
22:07:58.484,23.59
22:08:14.554,21
22:08:31.090,22.23
22:08:58.749,20.48
22:09:15.281,23.54
22:09:36.205,22.52
22:10:27.115,22.2
22:10:47.794,21.66
22:11:02.602,22.26
22:11:17.276,21.91
22:13:18.945,22.11
22:13:28.534,3.37
22:13:40.600,7.99
22:13:58.884,1.67
22:14:07.761,2.12
22:14:19.309,1.66
22:14:21.966,1.64
22:14:29.732,1.74
22:14:33.024,2.35
22:14:59.413,2.1
22:15:14.385,1.62
22:16:02.472,1.68
22:16:10.325,2.85
22:16:13.139,1.68
22:16:14.573,2.76
22:16:18.616,1.63
22:16:21.242,3.78
22:16:30.433,3.36
22:16:39.570,1.79
22:16:42.445,1.73
22:16:44.726,1.82
22:16:50.379,2.15
22:17:03.529,1.94
22:17:11.654,1.88
22:17:19.172,8.39
22:17:21.673,2.34
22:28:14.575,1.85
22:53:24.191,86.84
22:53:43.991,3.17
22:53:47.721,3.23
22:53:50.220,4.11
22:53:54.880,3.65
22:53:57.946,8.01
22:54:00.845,2.88
22:54:03.102,2.92
22:54:05.856,2.85
22:54:14.963,4.57
22:54:25.767,3.5
