LocalProcessTimeDiffMs,LocalTimeDiffMs,LocalMonotonicDiffMs,RemoteDiffTimeMs
0.000000000,644.656181335,640.000000130,573.035644531
15.625000000,604.482173920,610.000000102,536.316162109
0.000000000,613.390922546,609.999999870,541.674560547
0.000000000,604.667186737,593.999999808,535.282714844
31.250000000,623.920679092,625.000000000,543.916503906
0.000000000,606.580495834,593.999999808,538.709716797
15.625000000,612.027168274,608.999999939,540.958007812
15.625000000,629.600286484,625.000000000,557.610107422
15.625000000,612.035274506,609.999999870,541.511962891
15.625000000,601.336240768,593.000000110,533.457031250
15.625000000,627.612113953,625.000000000,557.145751953
0.000000000,622.295141220,625.000000000,552.312011719
0.000000000,634.655475616,640.000000130,563.995361328
0.000000000,612.088203430,610.000000102,540.306640625
0.000000000,598.634004593,609.999999870,530.993408203
0.000000000,609.558343887,608.999999939,538.291748047
15.625000000,633.807420731,641.000000061,562.710693359
0.000000000,614.541530609,609.999999870,543.756835938
15.625000000,595.871925354,608.999999939,527.148437500
15.625000000,606.980800629,609.000000171,535.181640625
0.000000000,619.882583618,610.000000102,549.010742188
0.000000000,625.494956970,625.000000000,554.998779297
0.000000000,625.339508057,625.000000000,553.982421875
0.000000000,616.793632507,625.000000000,545.454345703
15.625000000,613.768577576,608.999999939,540.659423828
15.625000000,624.893426895,625.000000000,553.336914062
15.625000000,616.430759430,609.999999870,545.383056641
15.625000000,624.888181686,625.000000000,553.892578125
15.625000000,616.546392441,625.000000000,545.689208984
15.625000000,604.889869690,609.999999870,535.972412109
0.000000000,625.044345856,625.000000000,554.987304688
0.000000000,631.153106689,639.999999898,559.857177734
15.625000000,613.881826401,609.000000171,542.613769531
15.625000000,604.361057281,609.999999870,534.608886719
31.250000000,622.231245041,625.000000000,550.798828125
0.000000000,603.197336197,609.999999870,534.349365234
0.000000000,607.111454010,608.999999939,539.054931641
0.000000000,627.530097961,625.000000000,555.863281250
15.625000000,615.860700607,609.999999870,543.270996094
15.625000000,615.336894989,625.000000000,543.416503906
0.000000000,618.621349335,608.999999939,547.998779297
0.000000000,619.529724121,609.999999870,548.317626953
15.625000000,612.653017044,609.999999870,541.724853516
0.000000000,624.502897263,625.000000000,552.845458984
15.625000000,614.042758942,625.000000000,543.312255859
15.625000000,611.499547958,609.999999870,540.982910156
0.000000000,611.313104630,608.999999939,539.089111328
0.000000000,615.510940552,625.000000000,544.583496094
0.000000000,606.773376465,608.999999939,536.967285156
0.000000000,625.008344650,625.000000000,554.143310547
0.000000000,602.751970291,608.999999939,534.111816406
0.000000000,614.696264267,609.000000171,546.354003906
0.000000000,617.424249649,609.000000171,546.460937500
0.000000000,611.289262772,610.000000102,540.011230469
0.000000000,621.396064758,609.000000171,550.719970703
31.250000000,608.614683151,609.000000171,540.263183594
31.250000000,604.563713074,610.000000102,536.587158203
0.000000000,616.595745087,609.999999870,545.890869141
0.000000000,617.231369019,625.000000000,547.062988281
0.000000000,614.542722702,608.999999939,543.368164062
31.250000000,607.476234436,609.999999870,536.526611328
31.250000000,603.347063065,593.000000110,534.930175781
